sm;sup_m2;TOT_POB;HOGARES;sup_ev;OBJETIVO;ESC;HOSP;LAYER;ID_USO;POB_X_MANZ;BARRIOS;COMUNAS;x_cen;y_cen;coorCENTRO;coorCENT_1;densidad_pob
067-047A;5937.42;816;337;0;0;0;0;RESIDENCIAL ABIERTO;5;194.86713;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639329.583;6169499.179;-58.48096011;-34.61081002;0.032820169
067-024A;6028.51;917;331;0;0;0;0;RESIDENCIAL ABIERTO;5;171.88395;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639031.507;6169507.746;-58.48421028;-34.61077324;0.028511846
067-013C;2079.65;887;313;0;0;0;0;RESIDENCIAL ABIERTO;5;62.70562;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638811.9;6169537.095;-58.48660861;-34.61053849;0.030152006
067-058;14499.42;667;252;0;0;0;0;RESIDENCIAL ABIERTO;5;348.707;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639500.604;6169485.467;-58.47909388;-34.61091036;0.024049721
067-036D;1928.66;917;331;0;0;0;0;RESIDENCIAL ABIERTO;5;54.98966;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639076.879;6169535.211;-58.48372027;-34.6105196;0.028511848
079-145A;6427;794;329;0;0;0;0;RESIDENCIAL ABIERTO;5;244.10925;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638666.431;6169545.156;-58.48819541;-34.61048551;0.037981834
067-013D;2083.17;887;313;0;0;0;0;RESIDENCIAL ABIERTO;5;62.81176;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638797.184;6169560.106;-58.48677276;-34.61033312;0.030152009
067-036C;1918.11;917;331;0;0;0;0;RESIDENCIAL ABIERTO;5;54.68886;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639100.284;6169549.362;-58.48346749;-34.61038891;0.028511848
067-047B;5959.27;843;372;0;0;0;0;RESIDENCIAL ABIERTO;5;278.76972;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639295.081;6169553.212;-58.48134502;-34.6103278;0.046779173
067-036B;1910.69;917;331;0;0;0;0;RESIDENCIAL ABIERTO;5;54.4773;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639123.599;6169563.389;-58.48321568;-34.61025935;0.028511847
067-013E;2079.56;887;313;0;0;0;0;RESIDENCIAL ABIERTO;5;62.70291;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638782.442;6169583.201;-58.48693721;-34.610127;0.030152008
067-013F;1775.62;887;313;0;0;0;0;RESIDENCIAL ABIERTO;5;53.53851;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638748.043;6169596.622;-58.48731432;-34.6100107;0.030152009
067-059A;6499.64;816;337;0;0;0;0;RESIDENCIAL ABIERTO;5;213.31929;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639446.144;6169570.881;-58.47970148;-34.61014807;0.03282017
067-025D;2830.28;887;313;0;0;0;0;RESIDENCIAL ABIERTO;5;85.33862;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638887.45;6169582.186;-58.48579255;-34.61012195;0.030152006
067-036A;4102.67;917;331;0;0;0;0;RESIDENCIAL ABIERTO;5;116.9747;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639155.496;6169582.798;-58.48287121;-34.61008013;0.028511847
067-025C;2666.05;887;313;0;0;0;0;RESIDENCIAL ABIERTO;5;80.38676;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638917.448;6169595.087;-58.48546772;-34.61000163;0.030152008
067-025B;2472.74;887;313;0;0;0;0;RESIDENCIAL ABIERTO;5;74.55808;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5638947.574;6169607.836;-58.48514146;-34.60988267;0.03015201
067-048A;5519.45;843;372;0;0;0;0;RESIDENCIAL ABIERTO;5;258.19531;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5639258.734;6169610.204;-58.48175052;-34.60981916;0.046779174
