sm;sup_m2;TOT_POB;HOGARES;sup_ev;OBJETIVO;ESC;HOSP;LAYER;ID_USO;POB_X_MANZ;BARRIOS;COMUNAS;x_cen;y_cen;coorCENTRO;coorCENT_1;densidad_pob
059-004;14361.48;865;269;3671.97;1;0;0;RESIDENCIAL ABIERTO;5;242.67147;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5640700.633;6169286.642;-58.46598172;-34.61253822;0.016897386
087-104B;4470.83;936;325;0;0;0;0;RESIDENCIAL ABIERTO;5;102.74078;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5636762.883;6169380.467;-58.50891596;-34.61222495;0.022980248
020-056;13806.4;633;329;6916.35;1;0;0;RESIDENCIAL ABIERTO;5;633;BALVANERA - SAN CRISTOBAL;3;5647173.113;6169208.964;-58.3954246;-34.61233056;0.045848302
087-092B;5025.17;786;297;0;0;0;0;RESIDENCIAL ABIERTO;5;99.56932;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5636583.097;6169382.121;-58.51087579;-34.61223399;0.01981412
067-120B;5731.49;996;360;3671.97;1;0;0;RESIDENCIAL ABIERTO;5;119.65929;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5640493.209;6169316.012;-58.46824735;-34.61230198;0.020877519
089-029B;3588.15;842;292;3686.63;1;0;0;RESIDENCIAL ABIERTO;5;80.73733;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5635192.437;6169418.492;-58.52603907;-34.61209034;0.022501102
002-005;14055.26;759;335;728.81;1;0;0;RESIDENCIAL ABIERTO;5;288.54807;CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO;1;5648743.016;6169191.806;-58.37831153;-34.61225888;0.020529543
059-167B;296.65;1124;431;0;0;0;0;RESIDENCIAL ABIERTO;5;17.35235;CABALLITO;6;5641771.047;6170028.777;-58.45443901;-34.60570347;0.058494354
089-044C;2895.68;811;334;3686.63;1;0;0;RESIDENCIAL ABIERTO;5;72.38644;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5635353.751;6169419.564;-58.524281;-34.61205942;0.02499808
087-042;1157.24;732;304;10276.92;1;0;0;RESIDENCIAL ABIERTO;5;11.03323;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5635610.664;6169425.384;-58.52148171;-34.61197306;0.00953409
081-080;11975.72;699;279;0;0;0;0;RESIDENCIAL ABIERTO;5;304.81225;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5637896.55;6169341.423;-58.49655333;-34.61242511;0.02545252
087-054;12430.66;916;333;10276.92;1;0;0;RESIDENCIAL ABIERTO;5;106.57866;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5636060.203;6169372.979;-58.51657359;-34.61238582;0.008573854
017-003;15364.24;855;354;0;0;0;0;RESIDENCIAL ABIERTO;5;855;ALMAGRO - BOEDO;5;5644053.012;6169250.995;-58.42943765;-34.61239444;0.055648701
020-064;14059.96;735;323;6916.35;1;1;0;RESIDENCIAL ABIERTO;5;735;BALVANERA - SAN CRISTOBAL;3;5647304.226;6169216.922;-58.393997;-34.61224005;0.052276109
028-024;12596.67;922;454;1194.01;1;0;0;RESIDENCIAL ABIERTO;5;922;ALMAGRO - BOEDO;5;5645432.801;6169245.267;-58.41439835;-34.61225149;0.073193947
002-014A;5231.56;759;335;728.81;1;0;0;COMERCIAL ADMINISTRATIVO;1;107.40154;CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO;1;5648846.64;6169221.676;-58.3771874;-34.61197471;0.020529544
017-052;13662.78;435;198;0;0;1;0;COMERCIAL ADMINISTRATIVO;1;435;ALMAGRO - BOEDO;5;5644499.738;6169250.388;-58.42456867;-34.61233712;0.031838323
093-200;708.69;641;250;0;0;0;0;RESIDENCIAL ABIERTO;5;14.53679;FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL;10;5634966.94;6169450.681;-58.528502;-34.61182995;0.020512199
087-055;6772.34;916;333;10276.92;1;0;0;RESIDENCIAL ABIERTO;5;58.06505;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5635894.675;6169401.221;-58.51838228;-34.61215325;0.008573853
028-040;14824.66;741;275;5842.33;1;0;0;RESIDENCIAL ABIERTO;5;741;BALVANERA - SAN CRISTOBAL;3;5645757.719;6169239.667;-58.41085613;-34.61225586;0.049984283
089-050;9690.81;811;334;3686.63;1;0;0;RESIDENCIAL ABIERTO;5;242.25166;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;11;5635467.857;6169395.984;-58.52303354;-34.61225686;0.024998082
